RK,TIERS,PLAYER NAME,TEAM,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS ADP
1,1,Brock Bowers,LV,22,1,1,1.0,0.0,-
2,1,Trey McBride,ARI,25,2,2,2.0,0.0,-
3,1,Sam LaPorta,DET,24,3,4,3.0,0.2,-
4,2,George Kittle,SF,31,4,9,5.2,1.5,-
5,2,T.J. Hockenson,MIN,28,4,9,5.5,1.6,-
6,2,Tyler Warren,IND,23,5,13,6.8,1.8,-
7,2,Colston Loveland,CHI,21,4,23,7.5,4.0,-
8,2,Tucker Kraft,GB,24,6,16,9.2,2.2,-
9,2,Mark Andrews,BAL,29,6,14,9.4,2.5,-
10,2,David Njoku,CLE,29,7,12,9.6,1.5,-
11,3,Dalton Kincaid,BUF,25,5,15,11.3,2.2,-
12,3,Evan Engram,DEN,30,6,17,11.7,2.7,-
13,3,Travis Kelce,KC,35,10,19,13.9,3.0,-
14,3,Kyle Pitts,ATL,24,8,21,14.1,2.7,-
15,3,Jonnu Smith,PIT,29,11,25,16.1,3.8,-
16,3,Isaiah Likely,BAL,25,12,22,17.4,3.1,-
17,3,Dallas Goedert,PHI,30,14,23,17.4,2.2,-
18,3,Jake Ferguson,DAL,26,14,23,17.4,2.4,-
19,4,Pat Freiermuth,PIT,26,14,26,19.7,3.1,-
20,4,Mason Taylor,NYJ,21,14,36,21.4,5.8,-
21,4,Elijah Arroyo,SEA,22,14,48,23.6,7.9,-
22,4,Cade Otton,TB,26,18,31,24.1,3.7,-
23,4,Hunter Henry,NE,30,15,41,25.1,5.8,-
24,4,Terrance Ferguson,LAR,22,16,47,25.3,8.8,-
25,4,Harold Fannin Jr.,CLE,20,16,45,25.7,6.7,-
26,4,Brenton Strange,JAC,24,16,41,26.4,6.6,-
27,4,Cole Kmet,CHI,26,20,36,27.8,4.0,-
28,4,Ja'Tavion Sanders,CAR,22,23,40,27.8,4.4,-
29,5,Mike Gesicki,CIN,29,24,38,29.9,3.8,-
30,5,Chig Okonkwo,TEN,25,23,37,30.4,3.4,-
31,5,Ben Sinnott,WAS,23,24,42,30.4,4.4,-
32,5,Dalton Schultz,HOU,29,22,38,30.7,3.7,-
