PLAYER NAME,TIERS,SALARY_M
Ja'Marr Chase,1,40.2
Justin Jefferson,1,35.0
CeeDee Lamb,1,34.0
D.K. Metcalf,1,33.0
A.J. Brown,1,32.0
Amon-Ra St. Brown,1,30.0
Tyreek Hill,1,30.0
Brandon Aiyuk,1,30.0
Tee Higgins,1,28.8
Jaylen Waddle,1,28.2
D.J. Moore,1,27.5
DeVonta Smith,1,25.0
Nico Collins,1,24.2
Deebo Samuel,1,23.8
Terry McLaurin,1,23.2
Calvin Ridley,1,23.0
Chris Godwin,1,22.0
Davante Adams,1,22.0
Stefon Diggs,1,21.2
Mike Evans,1,20.5
Jerry Jeudy,1,17.5
Cooper Kupp,1,15.0
Courtland Sutton,1,13.8
Khalil Shakir,1,13.2
Jakobi Meyers,1,11.0
Marvin Harrison Jr.,1,8.8
Adam Thielen,1,8.8
Malik Nabers,1,7.3
Marquise Brown,1,7.0
Tetairoa McMillan,1,7.0
Jauan Jennings,1,5.9
Rome Odunze,1,5.7
Drake London,1,5.4
Garrett Wilson,1,5.1
Chris Olave,1,4.8
Emeka Egbuka,1,4.5
Matthew Golden,1,4.4
Jameson Williams,1,4.4
Brian Thomas Jr.,1,3.7
Jaxon Smith-Njigba,1,3.6
Quentin Johnston,1,3.5
Zay Flowers,1,3.5
Xavier Worthy,1,3.4
Jordan Addison,1,3.4
Ricky Pearsall,1,3.1
Rashid Shaheed,1,3.1
Xavier Legette,1,3.1
Jayden Higgins,1,2.9
Luther Burden III,1,2.7
Keon Coleman,1,2.5
Ladd McConkey,1,2.5
Tre Harris,1,2.0
Jack Bech,1,1.9
Adonai Mitchell,1,1.8
Jayden Reed,1,1.8
George Pickens,1,1.7
Kyle Williams,1,1.7
Isaac TeSlaa,1,1.7
Pat Bryant,1,1.6
Rashee Rice,1,1.6
Jaylin Noel,1,1.6
Marvin Mims,1,1.5
Roman Wilson,1,1.4
Tank Dell,1,1.4
Cedric Tillman,1,1.4
Josh Downs,1,1.4
Dont'e Thornton Jr.,1,1.3
Jalen Royals,1,1.3
Troy Franklin,1,1.2
Elic Ayomanor,1,1.2
Diontae Johnson,1,1.2
Tory Horton,1,1.1
Puka Nacua,1,1.0
Xavier Restrepo,1,1.0
Demario Douglas,1,1.0
